title,genre,original_language,release_date,ratings
Creed,Drama,en,2015-11-25,7.4
Batman: Assault on Arkham,"Thriller,Animation,Action,Crime",en,2014-08-12,7.4
Cure,"Crime,Thriller,Horror,Mystery",ja,1997-12-27,7.4
The Killers,"Crime,Mystery,Thriller",en,1946-08-28,7.4
August Rush,"Family,Drama,Music",en,2007-11-21,7.4
Adaptation.,"Comedy,Crime,Drama",en,2002-12-06,7.4
The Last of the Mohicans,"Action,Adventure,Drama,History,Romance,War",en,1992-08-26,7.4
Europa,Drama,de,1991-06-27,7.4
Citizen X,"Crime,Drama",en,1995-02-25,7.4
Nosferatu the Vampyre,"Drama,Horror",de,1979-01-17,7.4
Star Wars: Episode III - Revenge of the Sith,"Adventure,Action,Science Fiction",en,2005-05-17,7.4
Little Lord Fauntleroy,"TV Movie,Family,Drama",en,1980-11-25,7.4
"Suddenly, Last Summer","Thriller,Drama,Mystery",en,1959-12-22,7.4
Saw,"Horror,Mystery,Crime",en,2004-10-01,7.4
Father There Is Only One 2,"Comedy,Family",es,2020-07-29,7.4
Justice League Dark,"Science Fiction,Action,Animation,Fantasy,Thriller",en,2017-03-29,7.4
Love and Monsters,"Comedy,Action,Adventure,Fantasy",en,2020-10-16,7.4
New World,"Thriller,Crime,Drama",ko,2013-02-21,7.4
Life of Pi,"Adventure,Drama",en,2012-11-20,7.4
The Twelve Tasks of Asterix,"Family,Animation,Comedy,Adventure",fr,1976-06-26,7.4
Shine,Drama,en,1996-08-15,7.4
Mon Oncle,Comedy,fr,1958-05-10,7.4
Summer of 85,"Romance,Drama",fr,2020-07-14,7.4
Stuck in Love,"Drama,Comedy",en,2013-06-14,7.4
The Great Gatsby,"Drama,Romance",en,2013-05-10,7.4
One Day,"Drama,Romance",en,2011-03-02,7.4
Serenity,"Science Fiction,Action,Adventure,Thriller",en,2005-09-23,7.4
Oscar,Comedy,fr,1967-10-11,7.4
Office Space,Comedy,en,1999-02-19,7.4
Dead Man Walking,Drama,en,1995-12-29,7.4
Sonic the Hedgehog,"Action,Science Fiction,Comedy,Family",en,2020-02-12,7.4
A Royal Affair,"Drama,History,Romance",da,2012-03-29,7.4
Seconds,"Science Fiction,Thriller",en,1966-10-05,7.4
Scooby-Doo! and the Witch's Ghost,"Animation,Comedy,Mystery,Family,Fantasy",en,1999-11-05,7.4
Nashville,"Drama,Music,Comedy",en,1975-06-11,7.4
The Omen,"Horror,Thriller",en,1976-06-06,7.4
Enter the Void,"Fantasy,Drama",en,2009-06-17,7.4
Malena,Drama,it,2000-03-16,7.4
Beetlejuice,"Fantasy,Comedy",en,1988-03-30,7.4
An American Werewolf in London,"Horror,Comedy",en,1981-08-21,7.4
Lolita,"Crime,Drama,Romance",en,1962-06-21,7.4
Lost in Translation,"Comedy,Drama,Romance",en,2003-09-18,7.4
Sorry We Missed You,Drama,en,2019-10-04,7.4
The Sucker,"Comedy,Crime",fr,1965-03-24,7.4
Scooby-Doo! WrestleMania Mystery,"Animation,Comedy,Family,Mystery",en,2014-03-25,7.4
If I Stay,Drama,en,2014-08-21,7.4
The Man in the Moon,"Drama,Family,Romance",en,1991-09-30,7.4
My Father's Glory,"Adventure,Drama",fr,1990-08-29,7.4
Juliet of the Spirits,"Comedy,Drama,Fantasy",it,1965-10-22,7.4
Santa Claus Is a Stinker,Comedy,fr,1982-08-25,7.4
American Psycho,"Thriller,Drama,Crime",en,2000-04-13,7.4
Interview with the Vampire,"Horror,Drama,Fantasy",en,1994-11-11,7.4
Anima,Music,en,2019-06-27,7.4
The Basketball Diaries,"Drama,Crime",en,1995-04-21,7.4
The Man Without a Past,"Romance,Comedy,Drama",fi,2002-03-01,7.4
Masculin Féminin,"Drama,Romance",fr,1966-03-22,7.4
The Time Machine,"Thriller,Adventure,Fantasy,Science Fiction,Romance",en,1960-05-25,7.4
Home Alone,"Comedy,Family",en,1990-11-16,7.4
Summer with Monika,"Drama,Romance",sv,1953-02-09,7.4
The Fighter,Drama,en,2010-12-10,7.4
Jeremiah Johnson,"Adventure,Western,History",en,1972-09-10,7.4
Down by Law,"Crime,Drama,Comedy",en,1986-09-20,7.4
The Mad Adventures of Rabbi Jacob,Comedy,fr,1973-10-17,7.4
The Devil Wears Prada,"Comedy,Drama,Romance",en,2006-06-29,7.4
Now Is Good,"Drama,Romance",en,2012-05-25,7.4
Dazed and Confused,"Comedy,Drama",en,1993-09-24,7.4
Blow,"Crime,Drama",en,2001-04-04,7.4
John Wick,"Action,Thriller",en,2014-10-22,7.4
Chocolate,"Action,Comedy,Crime",th,2008-02-06,7.4
Taken,"Action,Thriller",en,2008-02-18,7.4
Happiest Season,"Romance,Comedy",en,2020-11-26,7.4
Sicario,"Action,Crime,Thriller",en,2015-09-17,7.4
Secretariat,Drama,en,2010-08-20,7.4
Blood and Bone,"Action,Drama,Thriller",en,2009-02-07,7.4
Futurama: Bender's Big Score,"Animation,Comedy,Science Fiction,TV Movie",en,2008-03-05,7.4
25th Hour,"Crime,Drama",en,2002-12-19,7.4
Team Thor,"Comedy,Science Fiction",en,2016-08-28,7.4
Steamboat Willie,"Animation,Music,Comedy,Family",en,1928-11-18,7.4
Winchester '73,Western,en,1950-07-12,7.4
Mutiny on the Bounty,"Adventure,Drama,History",en,1935-11-22,7.4
Wait Until Dark,"Crime,Thriller,Horror",en,1967-10-26,7.4
Loveless,Drama,ru,2017-06-01,7.4
Romeo and Juliet,"Drama,Romance",en,1968-04-02,7.4
Sexmission,"Science Fiction,Adventure,Comedy",pl,1984-05-13,7.4
Miracle on 34th Street,"Comedy,Drama,Family",en,1947-06-04,7.4
Close Encounters of the Third Kind,"Science Fiction,Drama",en,1977-11-18,7.4
The African Queen,"Adventure,Romance",en,1952-01-07,7.4
Battle for Sevastopol,"Drama,War,Romance",ru,2015-04-02,7.4
Scooby-Doo! and the Cyber Chase,"Animation,Adventure,Comedy",en,2001-10-09,7.4
My Sister's Keeper,Drama,en,2009-06-26,7.4
The Triplets of Belleville,"Animation,Drama,Comedy",fr,2003-06-11,7.4
Only the Brave,"Drama,Action,History",en,2017-09-22,7.4
Batman Beyond: Return of the Joker,"Animation,Family,Action,Science Fiction",en,2000-12-12,7.4
Kung Fu Hustle,"Action,Comedy,Crime,Fantasy",cn,2004-02-10,7.4
The Fly,"Horror,Science Fiction",en,1986-08-15,7.4
My Girl,"Comedy,Drama",en,1991-11-27,7.4
Deconstructing Harry,"Comedy,Drama",en,1997-12-12,7.4
Teen Titans Go! To the Movies,"Animation,Action,Comedy,Science Fiction",en,2018-07-27,7.4
The Seventh Company Has Been Found,"Action,Comedy,War",fr,1975-12-10,7.4
"Bianco, rosso e Verdone",Comedy,it,1981-02-20,7.4
Operation Condor,"Action,Adventure,Crime,Thriller",cn,1991-02-07,7.4
Spider-Man: Homecoming,"Action,Adventure,Science Fiction,Drama",en,2017-07-05,7.4
Pelé: Birth of a Legend,Drama,en,2016-05-06,7.4
Windstorm,"Adventure,Family",de,2013-03-21,7.4
Road to Perdition,"Crime,Drama,Thriller",en,2002-07-12,7.4
Eastern Promises,"Thriller,Crime,Mystery",en,2007-09-14,7.4
A Time to Kill,"Crime,Drama,Thriller",en,1996-07-24,7.4
The Brain,"Crime,Comedy",fr,1969-03-07,7.4
Gentlemen Prefer Blondes,"Music,Comedy,Romance",en,1953-07-14,7.4
Play,Comedy,fr,2019-09-04,7.4
Elisa & Marcela,"Drama,Romance",es,2019-05-24,7.4
Birds of Passage,"Drama,Crime",es,2018-08-02,7.4
Full Out,"History,Drama,Family",en,2015-09-11,7.4
Johnny Stecchino,Comedy,it,1991-10-24,7.4
"Merry Christmas, Mr. Lawrence","Drama,History,War",ja,1983-05-28,7.4
Black Hawk Down,"Action,History,War",en,2001-12-28,7.4
Bad Day at Black Rock,"Thriller,Drama",en,1955-01-13,7.4
The Passenger,"Thriller,Drama",it,1975-02-28,7.4
Sissi,"Comedy,Drama,Romance",de,1955-12-22,7.4
Extraction,"Drama,Action,Thriller",en,2020-04-24,7.4
The Big Sick,"Comedy,Drama,Romance",en,2017-03-30,7.4
Walkabout,"Adventure,Drama",en,1971-07-01,7.4
To Catch a Thief,"Crime,Drama,Mystery,Romance,Thriller",en,1955-08-03,7.4
The Secret Scripture,"Drama,Romance",en,2017-03-23,7.4
Patema Inverted,"Animation,Adventure,Drama,Fantasy,Science Fiction",ja,2013-11-09,7.4
Saving Mr. Banks,"Comedy,Drama,History",en,2013-11-29,7.4
The Wicker Man,Horror,en,1973-12-01,7.4
Journey to Italy,"Drama,Romance",it,1954-09-07,7.4
Justice League vs. Teen Titans,"Science Fiction,Action,Animation",en,2016-05-13,7.4
All That Heaven Allows,"Drama,Romance",en,1955-12-25,7.4
Loose Cannons,"Comedy,Drama,Romance",it,2010-02-12,7.4
Barbie and the Diamond Castle,"Animation,Family",en,2008-09-03,7.4
A Man for All Seasons,"Drama,History",en,1966-12-13,7.4
21 Grams,"Drama,Crime,Thriller",en,2003-09-06,7.4
Precious,Drama,en,2009-11-06,7.4
"What's Up, Doc?","Comedy,Romance",en,1972-03-09,7.4
Swan Song,"Drama,Science Fiction",en,2021-12-17,7.4
The Impossible,"Thriller,Drama",en,2012-09-09,7.4
French Fried Vacation 2,Comedy,fr,1979-11-22,7.4
Scooby-Doo! and the Loch Ness Monster,"Family,Adventure,Animation,Comedy,Fantasy,Mystery",en,2004-06-21,7.4
From Here to Eternity,"War,Romance,Drama",en,1953-08-28,7.4
The Little Mermaid,"Animation,Family,Fantasy",en,1989-11-17,7.4
Rocketman,"Music,Drama,History",en,2019-05-22,7.4
The Butler,Drama,en,2013-08-16,7.4
Rise of the Guardians,"Family,Animation,Fantasy,Action,Adventure",en,2012-11-21,7.4
EverAfter,"Drama,Romance,Comedy",en,1998-07-31,7.4
I Want You,"Drama,Romance",es,2012-06-22,7.4
Pickpocket,"Crime,Drama",fr,1959-12-16,7.4
Southpaw,"Action,Drama",en,2015-03-24,7.4
Tucker and Dale vs. Evil,"Comedy,Horror",en,2010-01-22,7.4
Memories,"Fantasy,Animation,Science Fiction",ja,1995-12-23,7.4
Mesrine: Public Enemy #1,"Action,Thriller,Crime,Drama",fr,2008-11-19,7.4
The City of Lost Children,"Fantasy,Science Fiction,Adventure",fr,1995-08-17,7.4
Fantastic Beasts and Where to Find Them,"Fantasy,Adventure,Action",en,2016-11-16,7.4
Now You See Me,"Thriller,Crime",en,2013-05-29,7.4
Ghostland,"Horror,Mystery,Thriller",en,2018-03-14,7.4
Darkest Hour,"Drama,History",en,2017-11-22,7.4
The Wailing,"Horror,Mystery",ko,2016-05-12,7.4
The Girl with the Dragon Tattoo,"Thriller,Crime,Mystery",en,2011-12-14,7.4
Falling Down,"Crime,Drama,Thriller",en,1993-02-26,7.4
Rudy,"Drama,History",en,1993-09-17,7.4
Cyrano de Bergerac,"Drama,Comedy,History,Romance",fr,1990-03-28,7.4
Martyrs,"Horror,Drama,Thriller",fr,2008-09-03,7.4
Remember,"Drama,Thriller,Mystery",en,2015-10-23,7.4
Asterix & Obelix: Mission Cleopatra,"Family,Fantasy,Comedy,Adventure",fr,2002-01-30,7.4
Goldfinger,"Adventure,Action,Thriller",en,1964-09-20,7.4
Dirty Dancing,"Drama,Music,Romance",en,1987-08-21,7.4
The Muppet Christmas Carol,"Music,Comedy,Family,Fantasy,Drama",en,1992-12-10,7.3
Funny Games,"Drama,Horror,Thriller",de,1997-09-11,7.3
Scream,"Crime,Horror,Mystery",en,1996-12-20,7.3
"Good Morning, Vietnam","Comedy,Drama,War",en,1987-12-23,7.3
Jackie Brown,"Crime,Thriller,Drama",en,1997-04-10,7.3
Persuasion,"Romance,Drama,TV Movie",en,2007-04-01,7.3
Train of Life,"Drama,Comedy,War",fr,1998-09-16,7.3
Twin Peaks: Fire Walk with Me,"Drama,Mystery,Horror",en,1992-06-03,7.3
The Front Page,Comedy,en,1974-11-01,7.3
Match Point,"Drama,Thriller,Crime,Romance",en,2005-10-26,7.3
Woman in Gold,Drama,en,2015-03-20,7.3
Mr. Church,Drama,en,2016-09-16,7.3
20th Century Women,Drama,en,2016-12-28,7.3
Two Distant Strangers,Drama,en,2021-04-09,7.3
Float,"Animation,Drama,Family",en,2019-11-12,7.3
Lava,"Animation,Family",en,2014-10-10,7.3
Testament of Youth,"History,Drama,War",en,2014-10-14,7.3
Justice League: Crisis on Two Earths,"Action,Adventure,Animation,Science Fiction",en,2010-02-23,7.3
Blow Out,"Crime,Drama,Mystery,Thriller",en,1981-07-24,7.3
Bloody Sunday,"Drama,History",en,2002-01-16,7.3
Les Misérables,"History,Drama",en,2012-12-18,7.3
The Piano Teacher,"Drama,Romance",fr,2001-09-05,7.3
Perfume: The Story of a Murderer,"Crime,Fantasy,Drama",en,2006-09-13,7.3
Enola Holmes,"Mystery,Crime,Adventure",en,2020-09-23,7.3
Ophelia,"Drama,Romance,History",en,2019-06-28,7.3
Christopher Robin,"Adventure,Comedy,Family,Fantasy",en,2018-08-02,7.3
His Secret Life,"Drama,Romance",it,2001-03-16,7.3
Lagaan: Once Upon a Time in India,"Adventure,Romance,Drama",hi,2001-06-15,7.3
Dark City,"Mystery,Science Fiction",en,1998-02-27,7.3
Maleficent: Mistress of Evil,"Family,Fantasy,Adventure",en,2019-10-16,7.3
Stalingrad,"Drama,History,War",de,1993-01-20,7.3
Law of Desire,"Comedy,Drama,Thriller",es,1987-02-07,7.3
Papillon,"Drama,History,Crime",en,2017-09-07,7.3
Stand by Me Doraemon,"Animation,Family,Science Fiction,Fantasy",ja,2014-08-08,7.3
The First Beautiful Thing,"Comedy,Drama",it,2010-01-15,7.3
Scrooge,"Fantasy,Drama",en,1951-11-28,7.3
The Party,Comedy,en,1968-04-04,7.3
Land and Freedom,"Drama,History,War,Romance",en,1995-04-07,7.3
The Social Network,Drama,en,2010-10-01,7.3
American Me,"Crime,Drama",en,1992-03-13,7.3
Delicatessen,"Comedy,Science Fiction,Fantasy",fr,1991-04-17,7.3
The Mafia Kills Only in Summer,"Romance,Comedy,Crime,Drama",it,2013-11-28,7.3
Missing,"Drama,Mystery,Thriller",en,1982-02-12,7.3
Ghost Dog: The Way of the Samurai,"Crime,Drama",en,1999-06-02,7.3
Heathers,"Comedy,Crime",en,1989-03-31,7.3
The Magnificent Ambersons,"Drama,Romance,History",en,1942-07-10,7.3
Dear Basketball,Animation,en,2017-04-23,7.3
Law Abiding Citizen,"Drama,Crime,Thriller",en,2009-10-15,7.3
Run Lola Run,"Action,Drama,Thriller",de,1998-03-03,7.3
Suite Française,"Drama,Romance,War",en,2015-03-12,7.3
The Duellists,"Drama,War",en,1977-08-31,7.3
The Blue Angel,Drama,de,1930-04-01,7.3
Mia and the White Lion,"Adventure,Family,Drama",fr,2018-08-02,7.3
Star Trek Into Darkness,"Action,Adventure,Science Fiction",en,2013-05-05,7.3
On Golden Pond,Drama,en,1981-12-01,7.3
Christiane F.,Drama,de,1981-04-02,7.3
The Abyss,"Adventure,Action,Thriller,Science Fiction",en,1989-08-09,7.3
Ice Age,"Animation,Comedy,Family,Adventure",en,2002-03-10,7.3
Bye Bye Morons,"Comedy,Drama",fr,2020-10-21,7.3
Marvel One-Shot: Agent Carter,"Action,Adventure,Science Fiction,Fantasy",en,2013-09-03,7.3
A Man and a Woman,"Drama,Romance",fr,1966-05-27,7.3
A Very Long Engagement,"Drama,Romance,War",fr,2004-10-26,7.3
Harriet,"Drama,History",en,2019-11-01,7.3
Detroit,"Crime,Drama,Thriller,History",en,2017-07-28,7.3
The Yellow Sea,"Drama,Thriller,Crime",ko,2010-12-22,7.3
Crossroads,"Drama,Music,Mystery,Romance",en,1986-03-14,7.3
The Guns of Navarone,"War,Action",en,1961-04-27,7.3
The Kite Runner,Drama,en,2007-12-14,7.3
Minority Report,"Action,Thriller,Science Fiction,Mystery",en,2002-06-20,7.3
Gonjiam: Haunted Asylum,"Horror,Mystery",ko,2018-03-28,7.3
A Shot in the Dark,"Comedy,Crime,Mystery",en,1964-06-23,7.3
Weekend,"Drama,Romance",en,2011-09-22,7.3
Ghost in the Shell: Stand Alone Complex - Solid State Society,"Animation,Action,Thriller,Crime,Science Fiction",ja,2006-09-01,7.3
Possession,Horror,fr,1981-05-27,7.3
#Alive,"Action,Horror,Thriller",ko,2020-06-24,7.3
The Collini Case,"Thriller,Drama,Crime",de,2019-04-18,7.3
Split,"Horror,Thriller",en,2016-11-15,7.3
Tini: The New Life of Violetta,"Comedy,Drama,Music",es,2016-05-04,7.3
The Big Short,"Comedy,Drama",en,2015-12-11,7.3
Hair,"Comedy,Drama,Music,Romance,War",en,1979-03-14,7.3
Pirates of the Caribbean: Dead Man's Chest,"Adventure,Fantasy,Action",en,2006-07-06,7.3
Bajirao Mastani,"War,History,Romance",hi,2015-12-18,7.3
The Fundamentals of Caring,"Comedy,Drama",en,2016-06-16,7.3
Superman/Shazam!: The Return of Black Adam,"Animation,Action,Science Fiction,Fantasy",en,2010-11-16,7.3
Hud,"Western,Drama",en,1963-05-28,7.3
The Hours,Drama,en,2002-12-27,7.3
Stolen Kisses,"Comedy,Drama,Romance",fr,1968-09-04,7.3
In the Heights,"Drama,Music,Romance",en,2021-06-10,7.3
Horse Fever,Comedy,it,1976-10-29,7.3
Three Days of the Condor,"Thriller,Mystery,Adventure",en,1975-09-24,7.3
The Meaning of Life,Comedy,en,1983-03-31,7.3
A Christmas Story,"Comedy,Family",en,1983-11-18,7.3
Rudolph the Red-Nosed Reindeer,"Animation,Family,TV Movie",en,1964-12-06,7.3
Don't Breathe 2,"Thriller,Horror",en,2021-08-12,7.3
At War for Love,"War,Drama,Comedy,Romance",it,2016-10-27,7.3
End of Watch,"Crime,Drama,Thriller",en,2012-09-20,7.3
Fear Over the City,"Action,Crime,Drama,Thriller",fr,1975-04-09,7.3
5 Centimeters per Second,"Animation,Drama,Romance",ja,2007-03-03,7.3
Red Cliff Part II,"Action,Drama,History,War",zh,2009-01-07,7.3
The Quiet Man,"Romance,Comedy,Drama",en,1952-07-21,7.3
The Terminal,"Comedy,Drama",en,2004-06-17,7.3
Bāhubali 2: The Conclusion,"Action,Adventure,Fantasy",te,2017-04-27,7.3
Chak De! India,Drama,hi,2007-08-10,7.3
An American Crime,"Crime,Drama",en,2007-07-27,7.3
Finding Neverland,Drama,en,2004-10-17,7.3
"O Brother, Where Art Thou?","Adventure,Comedy,Crime",en,2000-08-30,7.3
Lights Out,Horror,sv,2013-12-30,7.3
The Physician,"Adventure,Drama,History",en,2013-12-25,7.3
Star Wars: The Force Awakens,"Adventure,Action,Science Fiction,Fantasy",en,2015-12-15,7.3
Hawks and Sparrows,"Comedy,Drama,Fantasy",it,1966-05-04,7.3
Deliverance,"Drama,Adventure,Thriller",en,1972-08-18,7.3
Lightyear,"Animation,Science Fiction,Adventure,Action,Family",en,2022-06-15,7.3
Wreck-It Ralph,"Family,Animation,Comedy,Adventure",en,2011-11-24,7.3
Scooby-Doo! and the Monster of Mexico,"Animation,Comedy,Family,Mystery",en,2003-09-30,7.3
House of Flying Daggers,"Adventure,Drama,Action",zh,2004-05-19,7.3
Becoming Jane,"Romance,Drama",en,2007-03-02,7.3
Blood Simple,"Crime,Drama,Thriller",en,1984-09-07,7.3
Drunken Master,"Action,Comedy",cn,1978-10-05,7.3
Henry V,"War,Drama,History",en,1989-10-05,7.3
Pitch Perfect,"Comedy,Music,Romance",en,2012-09-28,7.3
Evangelion: 3.0 You Can (Not) Redo,"Animation,Science Fiction,Action,Drama",ja,2012-11-17,7.3
Tomboy,Drama,fr,2011-04-20,7.3
The Eighth Day,Drama,fr,1996-05-22,7.3
Jack-Jack Attack,"Adventure,Animation,Family",en,2005-03-15,7.3
Adventures in Babysitting,"TV Movie,Comedy,Family",en,2016-06-24,7.3
The Hundred-Foot Journey,"Drama,Comedy",en,2014-08-06,7.3
The Message,"Adventure,Drama,Action,History",en,1976-03-09,7.3
Watchmen,"Action,Mystery,Science Fiction",en,2009-03-04,7.3
Palm Springs,"Comedy,Romance,Science Fiction",en,2020-07-10,7.3
Freeheld,"Romance,Drama",en,2015-10-02,7.3
Sorry If I Call You Love,"Drama,Romance",es,2014-06-20,7.3
The Names of Love,"Drama,Comedy,Romance",fr,2010-11-24,7.3
Only Yesterday,"Animation,Drama,Romance",ja,1991-07-20,7.3
Frost/Nixon,"Drama,History",en,2008-10-15,7.3
Over the Moon,"Animation,Adventure,Family,Fantasy",en,2020-10-16,7.3
A Single Man,"Romance,Drama",en,2009-10-19,7.3
The Stranger,"Crime,Drama,Mystery,Thriller",en,1946-07-02,7.3
Snake in the Eagle's Shadow,"Action,Comedy",cn,1978-03-01,7.3
Little Women,"Drama,Romance",en,1994-12-21,7.3
Utøya: July 22,"History,Drama",no,2018-03-09,7.3
The Judge,Drama,en,2014-10-08,7.3
The Commitments,"Comedy,Drama,Music",en,1991-08-14,7.3
Of Mice and Men,Drama,en,1992-09-16,7.3
Forbidden Planet,Science Fiction,en,1956-03-23,7.3
Twice Born,"Drama,Romance,War",it,2012-09-13,7.3
The Hobbit: An Unexpected Journey,"Adventure,Fantasy,Action",en,2012-11-26,7.3
They Live,"Science Fiction,Action",en,1988-11-23,7.3
Gangs of New York,"Drama,History,Crime",en,2002-12-14,7.3
Interstate 60,"Adventure,Comedy,Fantasy",en,2002-04-13,7.3
Colorful,"Animation,Drama,Family",ja,2010-08-21,7.3
The Texas Chain Saw Massacre,Horror,en,1974-10-01,7.3
A Christmas Carol,"Drama,Fantasy,TV Movie,Family",en,1984-10-09,7.3
The Counterfeiters,"Drama,War",de,2007-03-22,7.3
Mune: Guardian of the Moon,"Animation,Family,Adventure,Fantasy",fr,2015-02-05,7.3
"The Adventures of Priscilla, Queen of the Desert","Drama,Comedy",en,1994-05-31,7.3
Riders of Justice,"Action,Comedy,Drama",da,2020-11-19,7.3
The Guilty,"Drama,Thriller",da,2018-06-14,7.3
Brooklyn,"Romance,Drama",en,2015-10-20,7.3
Sarah's Key,"Drama,War",fr,2010-09-16,7.3
One Man Band,"Animation,Family",en,2005-06-21,7.3
Venus in Fur,Drama,fr,2013-05-28,7.3
War Horse,"War,Drama,Action",en,2011-12-25,7.3
The Lady Eve,"Comedy,Romance",en,1941-02-25,7.3
The Man from the Future,"Comedy,Fantasy,Science Fiction,Romance",pt,2011-09-02,7.3
The Family Friend,Drama,it,2006-10-01,7.3
Ghost in the Shell 2: Innocence,"Animation,Drama,Science Fiction",ja,2004-03-06,7.3
Patch Adams,"Comedy,Drama",en,1998-12-25,7.3
The Evil Dead,Horror,en,1981-09-10,7.3
The 12th Man,"War,Drama",no,2017-12-25,7.3
The Past,"Drama,Mystery",fr,2013-05-17,7.3
The Awful Truth,"Comedy,Drama,Romance",en,1937-10-20,7.3
Beautiful Thing,"Comedy,Drama,Romance",en,1996-06-21,7.3
Gone Baby Gone,"Crime,Drama,Mystery",en,2007-06-06,7.3
The Devil's Backbone,"Fantasy,Drama,Horror,Thriller",es,2001-04-20,7.3
Colonia,"Drama,Romance,Thriller",en,2015-06-24,7.3
13 Assassins,"Adventure,Drama,Action",ja,2010-09-09,7.3
Battle Royale,"Drama,Thriller,Action",ja,2000-12-16,7.3
The Professional,"Action,Adventure,Thriller",fr,1981-10-21,7.3
A Nightmare on Elm Street,Horror,en,1984-11-09,7.3
Lucky,Drama,en,2017-09-29,7.3
Hell or High Water,"Crime,Thriller,Drama",en,2016-08-11,7.3
The Immigrant,Comedy,en,1917-06-17,7.3
Kirikou and the Sorceress,"Fantasy,Adventure,Animation,Family",fr,1998-12-09,7.3
Assault on Precinct 13,"Thriller,Action,Crime",en,1976-11-05,7.3
The Bourne Supremacy,"Action,Drama,Thriller",en,2004-07-23,7.3
Frozen II,"Family,Animation,Adventure,Comedy,Fantasy",en,2019-11-20,7.3
The Hangover,Comedy,en,2009-06-02,7.3
The Public Enemy,"Crime,Drama",en,1931-04-23,7.3
Blazing Saddles,"Western,Comedy",en,1974-02-07,7.3
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,en,1995-09-07,7.3
Bread and Tulips,"Comedy,Romance",it,2000-03-03,7.3
Lady and the Tramp,"Family,Romance,Comedy",en,2019-11-12,7.3
Gantz:O,"Science Fiction,Action,Animation",ja,2016-10-14,7.3
When the Wind Blows,"Animation,Drama,War,Science Fiction",en,1986-10-24,7.3
Manhattan Murder Mystery,"Comedy,Mystery",en,1993-05-02,7.3
The Secret: Dare to Dream,"Drama,Romance",en,2020-04-16,7.3
A Dog's Way Home,"Drama,Adventure,Family",en,2019-01-10,7.3
The Miracle Season,Drama,en,2018-04-13,7.3
Dawn of the Planet of the Apes,"Science Fiction,Action,Drama,Thriller",en,2014-06-26,7.3
X-Men: First Class,"Action,Science Fiction,Adventure",en,2011-06-01,7.3
West Side Story,"Crime,Drama,Romance",en,1961-12-13,7.3
Clifford the Big Red Dog,"Family,Adventure,Comedy,Fantasy",en,2021-11-10,7.3
Phantom Thread,"Drama,Romance",en,2017-12-25,7.3
Center of My World,"Drama,Romance",de,2016-11-10,7.3
Resort to Love,"Romance,Comedy",en,2021-07-29,7.3
Suburra,"Crime,Drama,Thriller",it,2015-10-14,7.3
The King's Daughter,"Fantasy,Drama,Romance,History",en,2022-01-21,7.3
The Lunchbox,"Drama,Romance",hi,2013-09-20,7.3
The Hobbit: The Battle of the Five Armies,"Action,Adventure,Fantasy",en,2014-12-10,7.3
Dragon Ball: The Path to Power,"Animation,Adventure,Fantasy",ja,1996-03-04,7.3
True Grit,"Drama,Adventure,Western",en,2010-12-22,7.3
A Matter of Loaf and Death,"Animation,Comedy,Family",en,2008-12-03,7.3
The Illusionist,"Fantasy,Drama,Thriller,Romance",en,2006-08-18,7.3
Lean On Me,Drama,en,1989-03-03,7.3
Superman: Red Son,"Science Fiction,Animation,Action",en,2020-02-24,7.3
Pay It Forward,Drama,en,2000-10-20,7.3
Kahaani,"Mystery,Thriller",hi,2012-03-08,7.3
Fist of Fury,"Drama,Action,Thriller",zh,1972-03-22,7.3
Death in Venice,Drama,it,1971-03-01,7.3
Star Trek: First Contact,"Science Fiction,Action,Adventure,Thriller",en,1996-11-22,7.3
Kiss and Cry,"Romance,Drama,Music,TV Movie",en,2017-02-10,7.3
Avengers: Age of Ultron,"Action,Adventure,Science Fiction",en,2015-04-22,7.3
Quiz Show,"History,Drama,Mystery",en,1994-08-25,7.3
The Fortune Cookie,"Romance,Comedy",en,1966-10-19,7.3
La Cérémonie,"Drama,Thriller",fr,1995-08-30,7.3
Munna Bhai M.B.B.S.,"Comedy,Drama",hi,2003-12-19,7.3
Clueless,"Comedy,Romance",en,1995-07-19,7.3
Escape from Pretoria,"Drama,History,Thriller",en,2020-03-06,7.3
The Fisher King,"Comedy,Drama",en,1991-09-20,7.3
What's in a Name,"Drama,Comedy",fr,2012-04-25,7.3
Balto,"Family,Animation,Adventure",en,1995-12-22,7.3
Batman: Hush,"Science Fiction,Crime,Animation,Mystery,Action",en,2019-07-19,7.3
Source Code,"Thriller,Science Fiction,Mystery",en,2011-03-30,7.3
Dangerous Liaisons,"Drama,Romance",en,1988-12-21,7.3
Batman: Year One,"Action,Animation,Crime",en,2011-09-27,7.3
Evil,Drama,sv,2003-09-16,7.3
In the Name of the Land,Drama,fr,2019-09-25,7.3
Tunnel,"Thriller,Drama,Action",ko,2016-08-10,7.3
The Aristocats,"Animation,Comedy,Family,Adventure",en,1970-12-24,7.3
Indiana Jones and the Temple of Doom,"Adventure,Action",en,1984-05-23,7.3
The Conjuring 2,"Horror,Thriller",en,2016-06-08,7.3
Dark Passage,"Crime,Drama,Romance,Thriller",en,1947-09-05,7.3
Suffragette,"Drama,History",en,2015-10-16,7.3
Now Where Did the Seventh Company Get to?,"Comedy,War",fr,1973-05-24,7.3
3 Women,"Drama,Mystery",en,1977-04-10,7.3
