title,genre,original_language,release_date,ratings
Steven Universe: The Movie,"Animation,Family,Fantasy,TV Movie,Science Fiction,Adventure,Music",en,2019-09-02,8.3
The Art of Racing in the Rain,"Comedy,Drama,Romance",en,2019-08-08,8.3
Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction",en,2021-03-18,8.3
Klaus,"Animation,Family,Adventure,Comedy,Fantasy",en,2019-11-08,8.3
The Handmaiden,"Thriller,Drama,Romance",ko,2016-06-01,8.3
Avengers: Infinity War,"Adventure,Action,Science Fiction",en,2018-04-25,8.3
The Intouchables,"Drama,Comedy",fr,2011-11-02,8.3
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Animation,Adventure,Comedy,Fantasy",ja,2019-08-30,8.3
Everything Everywhere All at Once,"Action,Adventure,Science Fiction",en,2022-03-24,8.3
The Lion King,"Family,Animation,Drama",en,1994-06-23,8.3
It's a Wonderful Life,"Drama,Family,Fantasy",en,1946-12-20,8.3
Persona,Drama,sv,1966-10-18,8.3
Black Beauty,Drama,en,2020-11-27,8.3
Bicycle Thieves,Drama,it,1948-11-24,8.3
Wolf Children,"Animation,Drama,Family,Fantasy",ja,2012-07-21,8.3
Maquia: When the Promised Flower Blooms,"Animation,Fantasy,Romance,Drama",ja,2018-02-24,8.3
Il Sorpasso,"Drama,Comedy",it,1962-12-05,8.3
Green Book,"Drama,Comedy",en,2018-11-16,8.2
Violet Evergarden: Eternity and the Auto Memory Doll,"Drama,Fantasy,Animation",ja,2019-09-06,8.2
I Want to Eat Your Pancreas,"Animation,Drama,Romance,Family",ja,2018-09-01,8.2
Sansho the Bailiff,Drama,ja,1954-03-31,8.2
Witness for the Prosecution,"Drama,Mystery,Crime",en,1957-12-17,8.2
"Miraculous World: New York, United HeroeZ","Animation,Family,Adventure,TV Movie,Fantasy,Action",fr,2020-09-25,8.2
Mortal Kombat Legends: Scorpion's Revenge,"Animation,Action,Fantasy",en,2020-04-12,8.2
New Gods: Nezha Reborn,"Animation,Action,Fantasy",zh,2021-02-06,8.2
Stalker,"Science Fiction,Drama",ru,1979-05-25,8.2
8½,"Fantasy,Drama",it,1963-02-14,8.2
The Kid,"Comedy,Drama",en,1921-01-21,8.2
The Apartment,"Comedy,Drama,Romance",en,1960-06-21,8.2
Bo Burnham: Inside,Comedy,en,2021-07-22,8.2
Coco,"Family,Animation,Fantasy,Music,Comedy,Adventure",en,2017-10-27,8.2
The Shining,"Horror,Thriller",en,1980-05-23,8.2
Doctor Who: The Day of the Doctor,"Science Fiction,Adventure",en,2013-11-23,8.2
